blocks,threads,run_id,time_ms
1,32,3,116.754
1,32,4,116.79
1,32,5,116.748
1,32,6,116.731
1,32,7,116.863
1,32,8,116.811
1,32,9,116.84
1,32,10,116.796
1,32,11,118.076
1,32,12,116.759
1,32,13,116.709
1,32,14,116.76
1,32,15,116.749
1,32,16,116.784
1,32,17,116.849
1,32,18,116.731
1,32,19,116.877
1,32,20,116.766
1,32,21,117.292
1,32,22,116.833
1,32,23,117.001
1,32,24,117.11
1,32,25,116.76
1,32,26,116.749
1,32,27,116.68
1,32,28,116.795
1,32,29,116.784
1,32,30,116.777
1,32,31,116.701
1,32,32,116.682
1,32,33,117.233
1,32,34,116.864
1,32,35,116.834
1,32,36,116.718
1,32,37,116.847
1,32,38,116.855
1,32,39,116.785
1,32,40,116.694
1,32,41,116.827
1,32,42,116.763
1,32,43,116.806
1,32,44,116.669
1,32,45,116.783
1,32,46,119.026
1,32,47,123.651
1,32,48,117.035
1,32,49,117.301
1,32,50,116.782
1,32,51,116.776
1,32,52,116.692
1,32,53,116.78
1,32,54,116.789
1,32,55,116.711
1,32,56,116.98
1,32,57,116.76
1,32,58,116.853
1,32,59,116.679
1,32,60,116.802
1,32,61,116.853
1,32,62,116.853
1,32,63,116.763
1,32,64,116.765
1,32,65,116.704
1,32,66,116.95
1,32,67,116.749
1,32,68,116.753
1,32,69,116.84
1,32,70,116.719
1,32,71,116.781
1,32,72,116.853
1,32,73,116.752
1,32,74,116.788
1,32,75,116.772
1,32,76,116.781
1,32,77,116.713
1,32,78,116.704
1,32,79,116.687
1,32,80,116.852
1,32,81,116.701
1,32,82,116.706
1,32,83,116.671
1,32,84,116.752
1,32,85,116.739
1,32,86,116.784
1,32,87,116.773
1,32,88,116.786
1,32,89,116.818
1,32,90,116.896
1,32,91,116.762
1,32,92,116.759
1,32,93,116.794
1,32,94,116.873
1,32,95,116.84
1,32,96,116.754
1,32,97,116.801
1,32,98,116.819
1,32,99,116.726
